code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,1652,0.196206,0.243875,20150603,20181018,0.394317,20140428,20150603,-0.012672,0.029088,0.071950,0.003523,0.353596,12.800000,0.059355,20150601,0.018827,-0.682797,20150626,-0.028508,-1.480303,0.008314,20150420,0.032061,2.856372,20150629,-0.047150,-6.671259,0.021156,20150504,0.070681,2.340928,20150601,-0.084912,-5.013590,0.067542,20150105,0.083235,0.232344,20160104,-0.064427,-1.953870,开放式;混合型 ;高风险,20011218
000003,1652,0.202452,0.568323,20150601,20181018,1.267606,20140120,20150601,0.000073,0.030014,0.194269,0.034523,0.849357,5.328767,0.185805,20150601,0.090293,-0.514041,20150626,-0.111252,-1.598755,0.023283,20200629,0.129065,4.543227,20150623,-0.131026,-6.627447,0.055417,20141201,0.172901,2.120019,20150601,-0.268634,-5.847523,0.266830,20140102,0.504264,0.889834,20160104,-0.167347,-1.627167,开放式;债券型 ;低风险,20130320
000004,1652,0.204171,0.570325,20150601,20181018,1.283529,20140120,20150601,0.001383,0.030269,0.194588,0.035553,0.849357,5.328767,0.188554,20150601,0.089837,-0.523546,20150626,-0.111739,-1.592610,0.023319,20200629,0.130346,4.589624,20150623,-0.131369,-6.633480,0.055613,20141201,0.176814,2.179382,20150601,-0.266873,-5.798773,0.269138,20140102,0.509091,0.891562,20160104,-0.170712,-1.634292,开放式;债券型 ;低风险,20130320
000005,1651,0.397959,0.036815,20150615,20150709,0.425510,20140102,20200430,1.595175,0.058999,0.018179,0.012513,0.843638,5.361644,0.111862,20150601,0.007969,-0.928759,20141209,-0.013096,-1.117076,0.002592,20150518,0.015188,4.858643,20150615,-0.016267,-7.274967,0.006240,20150401,0.027498,3.406548,20150601,-0.010426,-2.670737,0.032162,20140102,0.089796,1.792010,20160104,0.012898,-0.598975,开放式;债券型 ;低风险,20130308
000006,377,0.819800,0.146275,20200225,20200323,1.073454,20190606,20200901,2.257639,0.533381,0.222968,0.090027,0.845291,1.221918,0.300044,20200204,0.041767,-0.860797,20200203,-0.086101,-1.286961,0.024591,20200203,0.102652,3.174406,20200224,-0.057183,-3.325372,0.061957,20200701,0.158217,1.553666,20200302,-0.098502,-2.589846,nan,20190319,0.212000,nan,20190319,0.212000,nan,开放式;混合型 ;高风险,20190319
000008,1652,0.593213,0.618742,20150612,20181018,1.936170,20140113,20150612,0.223106,0.087946,0.259724,0.071924,0.850232,5.323287,0.268186,20150916,0.062325,-0.767604,20200203,-0.079213,-1.295366,0.028204,20150518,0.091234,2.234768,20150817,-0.130137,-5.614114,0.064952,20150302,0.172655,1.658183,20160104,-0.198465,-4.055544,0.260650,20140102,0.342189,0.312831,20180102,-0.311383,-2.194642,开放式;ETF联接基金 ;高风险,20130322
000011,1652,0.860615,0.373443,20150612,20150915,1.267178,20140717,20200828,0.531889,0.127589,0.183476,0.048516,0.407901,11.095890,0.220264,20150710,0.045131,-0.795106,20200203,-0.061448,-1.278975,0.020120,20181029,0.070670,2.512415,20150817,-0.096689,-5.805577,0.047407,20200701,0.121922,1.571841,20150601,-0.156285,-4.296679,0.182475,20190102,0.328161,0.798383,20180102,-0.157316,-1.862121,开放式;混合型 ;高风险,20040811
000014,1615,0.527976,0.105524,20190404,20190606,0.589377,20140124,20200806,0.747886,0.078306,0.064590,0.011230,0.829907,5.331507,0.105973,20200706,0.031052,-0.706987,20200203,-0.044935,-1.424025,0.007758,20200629,0.050408,5.497590,20190422,-0.030032,-4.871207,0.021362,20200701,0.100437,3.701572,20190401,-0.049964,-3.338892,0.072445,20190102,0.161002,1.222389,20180102,-0.040309,-1.556402,开放式;债券型 ;低风险,20130319
000015,1652,0.395492,0.041017,20161021,20161221,0.408205,20140103,20200506,2.015606,0.058633,0.014206,0.011841,0.844149,5.361644,0.108815,20141124,0.007519,-0.930903,20141209,-0.011396,-1.104728,0.002338,20150511,0.007319,2.130451,20161212,-0.014262,-7.099719,0.006992,20150401,0.018762,1.683208,20141201,-0.018674,-3.670682,0.041429,20150105,0.114068,1.753327,20170103,0.009291,-0.775750,开放式;债券型 ;低风险,20130308
000016,1652,0.360082,0.041597,20161024,20161221,0.373457,20140102,20200506,1.641849,0.053383,0.014242,0.009658,0.844149,5.361644,0.098274,20141124,0.006623,-0.932612,20141209,-0.011472,-1.116737,0.002384,20150511,0.008310,2.485502,20161212,-0.014468,-7.068235,0.007036,20150401,0.018921,1.689351,20141201,-0.018815,-3.674171,0.041672,20150105,0.110153,1.643328,20170103,0.004284,-0.897186,开放式;债券型 ;低风险,20130308
000017,1652,1.971625,0.470214,20150603,20190103,2.330981,20140113,20150603,1.297145,0.292300,0.202214,0.169330,0.852425,5.309589,0.411497,20150511,0.052777,-0.871744,20150629,-0.070362,-1.170990,0.023665,20150420,0.082635,2.491789,20150629,-0.120671,-6.099046,0.061877,20150504,0.226815,2.665554,20150601,-0.192512,-4.111178,0.303506,20140102,0.582115,0.917968,20180102,-0.156587,-1.515925,开放式;混合型 ;高风险,20130327
