code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,1407,0.131471,0.243875,20150603,20181018,0.292777,20150119,20150603,-0.093869,0.022916,0.075463,0.002478,0.301156,12.800000,0.049776,20150601,0.018827,-0.621758,20150626,-0.028508,-1.572727,0.008780,20150420,0.032061,2.651620,20150629,-0.047150,-6.370147,0.022561,20150504,0.070681,2.132883,20150601,-0.084912,-4.763658,0.073841,20150105,0.083235,0.127220,20160104,-0.064427,-1.872501,开放式;混合型 ;高风险,20011218
000003,1407,-0.214007,0.568323,20150601,20181018,0.510555,20150209,20150601,-0.343589,-0.037303,0.195883,0.015555,0.723393,5.328767,0.124719,20150601,0.090293,-0.276024,20150626,-0.111252,-1.892018,0.023104,20200629,0.129065,4.586273,20150623,-0.131026,-6.671147,0.054112,20150401,0.157749,1.915262,20150601,-0.268634,-5.964436,0.157614,20190102,0.218527,0.386473,20160104,-0.167347,-2.061753,开放式;债券型 ;低风险,20130320
000004,1407,-0.215947,0.570325,20150601,20181018,0.516406,20150209,20150601,-0.344833,-0.037641,0.196156,0.015870,0.723393,5.328767,0.125977,20150601,0.089837,-0.286877,20150626,-0.111739,-1.886977,0.023136,20200629,0.130346,4.633911,20150623,-0.131369,-6.678114,0.054109,20150401,0.158304,1.925644,20150601,-0.266873,-5.932125,0.158976,20190102,0.221165,0.391184,20160104,-0.170712,-2.073821,开放式;债券型 ;低风险,20130320
000005,1407,0.279178,0.036815,20150615,20150709,0.305607,20150206,20200430,1.061301,0.048663,0.017585,0.006098,0.718958,5.361644,0.078090,20150601,0.007969,-0.897948,20150528,-0.009549,-1.122278,0.002560,20150518,0.015188,4.932529,20150615,-0.016267,-7.354104,0.006198,20150401,0.027498,3.436277,20150601,-0.010426,-2.682008,0.030254,20150105,0.085901,1.839324,20160104,0.012898,-0.573687,开放式;债券型 ;低风险,20130308
000006,377,0.819800,0.146275,20200225,20200323,1.073454,20190606,20200901,2.257639,0.533381,0.222968,0.090027,0.845291,1.221918,0.300044,20200204,0.041767,-0.860797,20200203,-0.086101,-1.286961,0.024591,20200203,0.102652,3.174406,20200224,-0.057183,-3.325372,0.061957,20200701,0.158217,1.553666,20200302,-0.098502,-2.589846,nan,20190319,0.212000,nan,20190319,0.212000,nan,开放式;混合型 ;高风险,20190319
000008,1407,0.167634,0.618742,20150612,20181018,1.073062,20150119,20150612,-0.002883,0.029220,0.270620,0.031602,0.724138,5.323287,0.177768,20150916,0.062325,-0.649401,20200203,-0.079213,-1.445598,0.029431,20150518,0.091234,2.099888,20150817,-0.130137,-5.421719,0.068524,20150302,0.172655,1.519619,20160104,-0.198465,-3.896266,0.256300,20150105,0.322331,0.257630,20180102,-0.311383,-2.214915,开放式;ETF联接基金 ;高风险,20130322
000011,1407,0.789974,0.373442,20150612,20150915,0.989854,20150915,20200828,0.560659,0.137698,0.192093,0.031659,0.347407,11.095890,0.177930,20150710,0.045131,-0.746356,20200203,-0.061448,-1.345350,0.020916,20181029,0.070670,2.378843,20150817,-0.096689,-5.622828,0.049419,20200701,0.121922,1.467136,20150601,-0.156285,-4.162465,0.200279,20190102,0.328161,0.638519,20180102,-0.157316,-1.785485,开放式;混合型 ;高风险,20040811
000014,1407,0.415646,0.105524,20190404,20190606,0.466541,20150105,20200806,0.616654,0.072450,0.068840,0.007881,0.723022,5.331507,0.088777,20200706,0.031052,-0.650232,20200203,-0.044935,-1.506157,0.008366,20200629,0.050408,5.025297,20190422,-0.030032,-4.589818,0.022948,20200701,0.100437,3.376800,20190401,-0.049964,-3.177328,0.079389,20190102,0.161002,1.028002,20180102,-0.040309,-1.507735,开放式;债券型 ;低风险,20130319
000015,1407,0.294677,0.041017,20161021,20161221,0.305133,20150105,20200506,1.700637,0.051364,0.012563,0.006143,0.718958,5.361644,0.078377,20150420,0.004647,-0.940711,20161215,-0.007595,-1.096903,0.002082,20150511,0.007319,2.515067,20161212,-0.014262,-7.849147,0.006610,20150401,0.018762,1.838493,20161201,-0.014167,-3.143299,0.044587,20150105,0.114068,1.558351,20170103,0.009291,-0.791630,开放式;债券型 ;低风险,20130308
000016,1407,0.266284,0.041597,20161024,20161221,0.278736,20150105,20200506,1.296987,0.046415,0.012656,0.004898,0.718958,5.361644,0.069984,20150420,0.004686,-0.933041,20161215,-0.007705,-1.110103,0.002133,20150511,0.008310,2.896762,20161212,-0.014468,-7.784235,0.006687,20150401,0.018921,1.829424,20161201,-0.015216,-3.275259,0.044806,20150105,0.110153,1.458426,20170103,0.004284,-0.904378,开放式;债券型 ;低风险,20130308
000017,1407,0.857066,0.470214,20150603,20190103,1.048265,20150112,20150603,0.584058,0.149393,0.204420,0.037872,0.726006,5.309589,0.194607,20150511,0.052777,-0.728803,20150629,-0.070362,-1.361558,0.024240,20150420,0.082635,2.409015,20150629,-0.120671,-5.978172,0.063651,20150504,0.226815,2.563416,20150601,-0.192512,-4.024487,0.263735,20150105,0.412144,0.562720,20180102,-0.156587,-1.593727,开放式;混合型 ;高风险,20130327
000020,1407,2.106195,0.488180,20150612,20160128,2.219630,20150105,20200902,1.281816,0.367126,0.263006,0.208297,0.723022,5.331507,0.456395,20150828,0.062696,-0.862629,20150727,-0.081877,-1.179400,0.028579,20150803,0.089492,2.131338,20150817,-0.127789,-5.471361,0.071654,20150504,0.257759,2.597298,20150601,-0.192694,-3.689243,0.369743,20190102,0.616238,0.666666,20180102,-0.237318,-1.641846,开放式;混合型 ;高风险,20130319
000021,1407,0.426958,0.377512,20150603,20190103,0.582754,20190103,20200713,0.262015,0.074422,0.169539,0.012285,0.408299,9.441096,0.110839,20150713,0.039993,-0.639178,20150626,-0.056663,-1.511219,0.018518,20200203,0.057968,2.130351,20150623,-0.078442,-5.236015,0.045621,20150504,0.115663,1.535322,20150601,-0.141848,-4.109297,0.186341,20190102,0.254368,0.365071,20180102,-0.169019,-1.907042,开放式;混合型 ;高风险,20061124
000024,1406,0.343008,0.024390,20150123,20150202,0.366964,20150202,20200818,1.844419,0.059789,0.016151,0.007305,0.725116,5.312329,0.085466,20150121,0.007841,-0.908252,20150119,-0.007975,-1.093317,0.002158,20150119,0.014224,5.592689,20150126,-0.013211,-7.123158,0.006120,20150202,0.025000,3.085250,20161201,-0.011270,-2.841585,0.036005,20150105,0.113456,2.151164,20170103,0.016692,-0.536394,开放式;债券型 ;低风险,20130326
000025,1406,0.328348,0.024540,20150123,20150202,0.353100,20150202,20200819,1.698300,0.057233,0.016036,0.006488,0.725116,5.312329,0.080551,20150121,0.007086,-0.912031,20150119,-0.007849,-1.097442,0.002213,20150119,0.014222,5.425762,20150126,-0.014072,-7.357944,0.006203,20150202,0.025157,3.055465,20161201,-0.011312,-2.823583,0.040206,20150105,0.119480,1.971715,20170103,0.012186,-0.696912,开放式;债券型 ;低风险,20130326
000028,321,0.073355,0.049093,20200224,20200323,0.109247,20190722,20200713,0.422092,0.056487,0.062751,0.000817,0.168063,5.232877,0.028585,20200706,0.020226,-0.292417,20200716,-0.021330,-1.746212,0.008212,20200203,0.016669,1.029715,20200713,-0.041259,-6.023973,0.014780,20200203,0.025914,0.753292,20200302,-0.028192,-2.907413,nan,20190614,0.050418,nan,20190614,0.050418,nan,开放式;债券型 ;低风险,20130424
000029,1407,1.328416,0.434802,20150612,20160229,1.709016,20150119,20200803,0.994445,0.231553,0.202679,0.109656,0.732050,5.265753,0.331143,20150810,0.043004,-0.870135,20160104,-0.072098,-1.217726,0.024308,20200203,0.093899,2.862885,20150615,-0.102146,-5.202148,0.062454,20200701,0.181146,1.900449,20160104,-0.160455,-3.569149,0.252078,20190102,0.441787,0.752579,20180102,-0.160463,-1.636560,开放式;混合型 ;高风险,20130412
000030,335,0.394971,0.149786,20200305,20200323,0.536900,20190606,20200805,1.254934,0.291242,0.208172,0.020475,0.174843,5.249315,0.143091,20200709,0.037203,-0.740005,20200203,-0.080528,-1.562771,0.023875,20200706,0.083539,2.499030,20200120,-0.040097,-2.679451,0.056839,20200701,0.128866,1.267229,20200302,-0.057007,-2.002959,nan,20190524,0.169870,nan,20190524,0.169870,nan,开放式;混合型 ;高风险,20130418
