code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,245,-0.063045,0.077138,20180109,20181018,0.030952,20180209,20180315,-1.648654,-0.063045,0.056437,0.000525,0.057471,11.679452,0.022909,20181022,0.010834,-0.527110,20181011,-0.010717,-1.467822,0.006902,20181029,0.017195,1.491065,20180205,-0.021511,-4.116475,0.006186,20180502,0.006293,0.017359,20180601,-0.014261,-3.305585,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;混合型 ;高风险,20011218
000003,245,-0.142421,0.175889,20180124,20181018,0.061988,20180621,20180724,-1.550382,-0.142421,0.111212,0.002308,0.159505,4.208219,0.048041,20180629,0.022042,-0.541186,20180209,-0.026205,-1.545484,0.015791,20180806,0.023891,0.512919,20180205,-0.062563,-4.961897,0.015670,20180702,0.027555,0.758389,20180502,-0.026002,-2.659325,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000004,245,-0.145030,0.177515,20180124,20181018,0.060748,20180621,20180724,-1.559906,-0.145030,0.112206,0.002372,0.159505,4.208219,0.048708,20180629,0.022016,-0.547993,20180619,-0.027242,-1.559291,0.015865,20180806,0.025028,0.577579,20180205,-0.062437,-4.935499,0.015892,20180702,0.028703,0.806127,20180502,-0.025974,-2.634428,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000005,245,0.067109,0.006335,20180807,20180820,0.067109,20180102,20181231,3.268387,0.067109,0.011354,0.000391,0.158269,4.241096,0.019779,20180418,0.004882,-0.753166,20180813,-0.002456,-1.124196,0.001280,20180416,0.004882,2.814204,20180813,-0.002304,-2.799746,0.003928,20180702,0.012792,2.256260,20180801,-0.001589,-1.404419,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000008,245,-0.311383,0.345712,20180108,20181018,0.147300,20181018,20181119,-1.521796,-0.311383,0.224329,0.010788,0.159713,4.202740,0.103867,20181022,0.044454,-0.572013,20181011,-0.062533,-1.602051,0.027646,20181029,0.059695,1.159298,20181008,-0.071005,-3.568395,0.033367,20181101,0.019271,-0.422433,20180601,-0.075922,-3.275391,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;ETF联接基金 ;高风险,20130322
000011,245,-0.157316,0.215862,20180123,20181029,0.083078,20180417,20180612,-1.124839,-0.157316,0.166527,0.003866,0.067289,9.975343,0.062176,20181102,0.036529,-0.412492,20181011,-0.028947,-1.465560,0.024343,20181029,0.070670,1.903142,20180205,-0.072712,-3.987027,0.032659,20180502,0.040183,0.230365,20181008,-0.067674,-3.072110,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;混合型 ;高风险,20040811
000014,245,-0.040309,0.061381,20180124,20181018,0.042688,20181018,20181119,-1.276627,-0.040309,0.055074,0.000243,0.159401,4.210959,0.015575,20181102,0.010606,-0.319022,20180619,-0.015138,-1.971959,0.007346,20181029,0.016951,1.307412,20181217,-0.017528,-3.386066,0.010615,20180702,0.023318,1.196800,20180601,-0.013998,-2.318709,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;债券型 ;低风险,20130319
000015,245,0.071906,0.005490,20180807,20180821,0.071906,20180102,20181231,4.636740,0.071906,0.009038,0.000458,0.158269,4.241096,0.021406,20180418,0.004078,-0.809478,20180820,-0.000879,-1.041044,0.001278,20180416,0.004082,2.192823,20180806,-0.001592,-2.245608,0.004044,20180702,0.013695,2.386572,20180502,0.000000,-1.000000,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000016,245,0.067321,0.005696,20180807,20180821,0.067321,20180102,20181231,4.089814,0.067321,0.009125,0.000403,0.158269,4.241096,0.020068,20180418,0.004167,-0.792372,20180516,-0.000832,-1.041456,0.001254,20180730,0.004092,2.263685,20180813,-0.001631,-2.301215,0.003963,20180702,0.013256,2.345196,20180502,0.000000,-1.000000,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000017,245,-0.156587,0.205249,20180123,20181221,0.058135,20180209,20180226,-1.346094,-0.156587,0.138613,0.003218,0.160235,4.189041,0.056725,20181022,0.025109,-0.557365,20180207,-0.030103,-1.530681,0.018810,20181029,0.042824,1.276670,20180205,-0.068687,-4.651618,0.023518,20180102,0.036868,0.567651,20180201,-0.043426,-2.846480,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;混合型 ;高风险,20130327
000020,245,-0.237318,0.310531,20180312,20181018,0.136664,20180209,20180312,-1.224242,-0.237318,0.218354,0.010310,0.159401,4.210959,0.101536,20180212,0.040057,-0.605493,20180619,-0.042357,-1.417166,0.025397,20181029,0.072455,1.852924,20180319,-0.058075,-3.286725,0.034236,20181101,0.028986,-0.153373,20180801,-0.068676,-3.005928,0.000000,20180102,-999999.000000,0.000000,20180102,999999.000000,0.000000,开放式;混合型 ;高风险,20130319
