code,nums,totalReturn,maxDrawDown,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,maxupday,permaxupday,maxdownday,permaxdownday,maxupweek,permaxupweek,maxdownweek,permaxdownweek,maxupmonth,permaxupmonth,maxdownmonth,permaxdownmonth,maxupyear,permaxupyear,maxdownyear,permaxdownyear,tags,createtime,mddStart,mddEnd
000001,4551,2.847000,0.291525,1.193521,0.151613,0.101894,0.939862,0.974101,12.800000,20050608,0.055888,20060607,-0.043624,20060508,0.070883,20060605,-0.053121,20060403,0.131346,20090803,-0.103794,20060104,0.918796,20080102,-0.229821,开放式;混合型 ;高风险,20011218,20080114,20081107
000003,1818,0.127900,0.568323,-0.069126,0.016988,0.188232,0.028109,0.934704,5.328767,20150601,0.090293,20150626,-0.111252,20200629,0.129065,20150623,-0.131026,20141201,0.172901,20150601,-0.268634,20140102,0.504264,20160104,-0.167347,开放式;债券型 ;低风险,20130320,20150601,20181018
000004,1818,0.125900,0.570325,-0.070438,0.016723,0.188500,0.028798,0.934704,5.328767,20150601,0.089837,20150626,-0.111739,20200629,0.130346,20150623,-0.131369,20141201,0.176814,20150601,-0.266873,20140102,0.509091,20160104,-0.170712,开放式;债券型 ;低风险,20130320,20150601,20181018
000005,1849,0.370000,0.036815,1.060858,0.048949,0.017862,0.014632,0.944813,5.361644,20150601,0.007969,20141209,-0.013096,20150518,0.015188,20150615,-0.016267,20150401,0.027498,20131101,-0.012012,20140102,0.089796,20130311,-0.019000,开放式;债券型 ;低风险,20130308,20150615,20150709
000006,377,0.819800,0.146275,2.257639,0.533381,0.222968,0.090027,0.845291,1.221918,20200204,0.041767,20200203,-0.086101,20200203,0.102652,20200224,-0.057183,20200701,0.158217,20200302,-0.098502,20190319,0.212000,20190319,0.212000,开放式;混合型 ;高风险,20190319,20200225,20200323
000008,1818,0.751100,0.618742,0.272169,0.099764,0.256326,0.102172,0.935667,5.323287,20150916,0.062325,20200203,-0.079213,20150518,0.091234,20150817,-0.130137,20150302,0.172655,20160104,-0.198465,20140102,0.342189,20180102,-0.311383,开放式;ETF联接基金 ;高风险,20130322,20150612,20181018
000011,3921,22.427000,0.480087,6.638986,1.390261,0.204890,31.444986,0.968148,11.095890,20080919,0.062378,20070227,-0.067738,20080421,0.099897,20090223,-0.097669,20070402,0.262500,20090803,-0.164245,20070104,2.057551,20080102,-0.355186,开放式;混合型 ;高风险,20040811,20080115,20081106
000014,1658,0.502000,0.105525,0.572120,0.066678,0.064108,0.011250,0.852004,5.331507,20200706,0.031052,20200203,-0.044935,20200629,0.050408,20190422,-0.030032,20200701,0.100437,20190401,-0.049964,20190102,0.161002,20180102,-0.040309,开放式;债券型 ;低风险,20130319,20190404,20190606
000015,1824,0.362000,0.041017,1.240342,0.047839,0.014382,0.013658,0.932039,5.361644,20141124,0.007519,20141209,-0.011396,20150511,0.007319,20161212,-0.014262,20150401,0.018762,20141201,-0.018674,20150105,0.114068,20130308,-0.024000,开放式;债券型 ;低风险,20130308,20161021,20161221
000016,1824,0.322000,0.041597,0.874348,0.042552,0.014356,0.011087,0.932039,5.361644,20141124,0.006623,20141209,-0.011472,20150511,0.008310,20161212,-0.014468,20150401,0.018921,20141201,-0.018815,20150105,0.110153,20130308,-0.027000,开放式;债券型 ;低风险,20130308,20161024,20161221
